Date,Shrub,Subspecies,Ploidy,Sub.Cyto,Population,E,A,R,A.R,gsw,PhiPS2,Fv.Fm,WUE,WUEi,RWC,SLA,Kbm,Kbms,Kbml,Ypd,Ymd,Max.Height,LA.SA,long,lat,elev,mat,map,gsp,mtcm,mmin,mtwm,mmax,sday,fday,ffp,dd5,gsdd5,d100,dd0,mmindd0,smrpb,smrsprpb,sprp,smrp,winp,Distance
7.1.19,65,T,2,T2,IDT1,3.760290558,,,,0.269412849,0.245957238,0.752,,,0.60238174,129.5918367,52.60660113,133.7477412,0.026584744,-1.4,-2.7,130,50.30995952,-115.6569,43.0962,949,10.2,281,102,-1.9,-6.8,23.1,33.3,130,274,144,2571,2069,96,278,941,0.57,0.48,42,20,136,137.9272
7.1.19,69,W,4,W4,MT'W3,6.823925778,,,,0.498757638,0.203579367,0.784,,,0.576487252,76.88188976,36.48556757,266.8736651,0.088599851,-0.92,-2.42,62,30.12123194,-108.7832,45.2066,1458,6.3,365,250,-6.7,-13.2,19.7,28.6,150,257,107,1809,1329,123,722,1836,0.57,0.49,108,53,64,1673.9826
7.1.19,70,W,4,W4,ID'W3,0.711745414,5.60328659,,,0.042274462,0.198720311,0.785,7.872599504,132.5454250,0.622126996,88.63297872,12.79256905,20.68248856,0.010966664,-1.28,-2.4,106,18.85941625,-116.8531,43.4657,870,10,256,112,-2,-6.8,22.1,32.3,130,269,133,2471,1923,94,269,929,0.51,0.45,49,22,101,290.2145
7.1.19,71,W,4,W4,ID'W1,0.287686206,4.471936747,,,0.016204074,0.286181766,0.78,15.54449483,275.9760684,0.576868829,88.14507772,13.93067789,28.28755169,0.014359195,-2.19,-3.52,97,19.69995621,-115.6528,43.0931,963,10.1,287,104,-1.9,-6.8,23.1,33.2,131,274,142,2551,2049,97,283,948,0.58,0.49,43,21,139,150.4501
7.1.19,73,T,2,T2,IDT2,1.884863374,12.59852283,,,0.113805854,0.284424727,0.772,6.684050954,110.7018869,0.668979745,120.390625,164.1957487,490.510086,0.044033833,-1.04,-2.17,148,111.3939101,-116.0081,43.3371,939,10.4,324,121,-1.6,-6.1,23.4,32.7,125,283,158,2633,2207,95,256,812,0.51,0.38,56,21,150,114.6881
7.1.19,75,T,2,T2,IDT2,0.680644631,8.625991367,,,0.047482912,0.243571112,0.747,12.67326734,181.6651710,0.613769941,112.3641618,140.3730414,5312.949284,0.143311349,-1.44,-2.42,116,370.7277429,-116.0081,43.3371,939,10.4,324,121,-1.6,-6.1,23.4,32.7,125,283,158,2633,2207,95,256,812,0.51,0.38,56,21,150,114.6881
7.1.19,77,T,2,T2,ORT1,0.540734209,2.181783823,,,0.031526472,0.150159231,0.788,4.034854437,69.2048195,0.541248787,92.57939914,143.7587005,226.1939192,0.063159165,-1.94,-2.81,112,35.81331673,-117.1854,42.9745,1349,8,331,138,-2.9,-8.9,20.2,31,163,255,91,1977,1235,111,369,1369,0.5,0.46,61,28,136,1286.2478
7.1.19,78,W,4,W4,UT'W1,0.160901871,2.583651286,,,0.008269826,0.17342294,0.761,16.05731038,312.4190599,0.599219893,79.16339869,71.68504123,141.1419452,0.077829539,-1.73,-3.302,83,18.13475288,-109.4352,38.3279,1797,10,296,159,-4.9,-10.5,24.9,33.4,125,283,158,2747,2378,106,437,1166,1.56,1.48,46,68,76,976.235
7.1.19,82,T,2,T2,IDT3,,1.868055263,,,,0.174804839,0.763,,,0.522146508,117.1724138,49.6769232,443.6721973,0.111398746,-4.1,,110,39.82739589,-116.9641,43.3366,1358,7.7,362,149,-3.1,-8.2,19.8,29.7,157,258,102,1916,1294,114,398,1249,0.48,0.43,68,29,151,1234.6707
7.1.19,85,T,2,T2,NVT1,2.099262884,13.01411019,,,0.139976726,0.238573655,0.747,6.199371357,92.9733862,0.624715002,136.6969697,82.84708922,653.6973377,0.072260041,-1.1,-2.514,118,90.46456819,-117.8517,39.2922,1629,9.2,218,117,-1.8,-10,21.5,31.8,154,263,111,2226,1503,100,267,1319,0.75,0.67,46,31,68,1113.3069
7.1.19,87,T,4,T4,AZ'T1,0.528772252,,,,0.026450865,,0.777,,,0.533665835,114.8030303,123.5068899,426.1759526,0.090322485,-1.57,-3.672,90,47.1838159,-111.7729,35.9174,1898,10.2,288,154,-0.7,-8,22.1,31.4,139,279,138,2507,1947,96,219,1151,3.16,2.93,30,88,84,1020.5019
